date,Total_Cases,Total_Deaths
2020-01-22,0.00054,0.000017
2020-01-23,0.000637,0.000018
2020-01-24,0.000915,0.000026
2020-01-25,0.001392,0.000042
2020-01-26,0.002062,0.000056
2020-01-27,0.002845,0.000082
2020-01-28,0.005447,0.000131
2020-01-29,0.006034,0.000133
2020-01-30,0.008064,0.000171
2020-01-31,0.009714,0.000213
2020-02-01,0.011779,0.000259
2020-02-02,0.016425,0.000362
2020-02-03,0.019461,0.000426
2020-02-04,0.023406,0.000492
2020-02-05,0.027079,0.000564
2020-02-06,0.030171,0.000634
2020-02-07,0.03368,0.000719
2020-02-08,0.036324,0.000806
2020-02-09,0.039255,0.000906
2020-02-10,0.041756,0.001013
2020-02-11,0.043698,0.001113
2020-02-12,0.044111,0.001118
2020-02-13,0.05901,0.001371
2020-02-14,0.065386,0.001523
2020-02-15,0.067386,0.001666
2020-02-16,0.069465,0.00177
2020-02-17,0.071402,0.001868
2020-02-18,0.073144,0.002008
2020-02-19,0.073529,0.002123
2020-02-20,0.073964,0.002248
2020-02-21,0.074589,0.002252
2020-02-22,0.076143,0.002459
2020-02-23,0.076512,0.00247
2020-02-24,0.07692,0.00263
2020-02-25,0.077694,0.00271
2020-02-26,0.07861,0.002771
2020-02-27,0.079926,0.002814
2020-02-28,0.081255,0.002873
2020-02-29,0.083079,0.002943
2020-03-01,0.085403,0.002997
2020-03-02,0.087293,0.003086
2020-03-03,0.08982,0.00316
2020-03-04,0.092027,0.003255
2020-03-05,0.094752,0.003348
2020-03-06,0.098555,0.003461
2020-03-07,0.102548,0.003565
2020-03-08,0.106246,0.003805
2020-03-09,0.110235,0.003995
2020-03-10,0.114784,0.004271
2020-03-11,0.122099,0.004616
2020-03-12,0.127591,0.004925
2020-03-13,0.141454,0.005417
2020-03-14,0.152133,0.005838
2020-03-15,0.162761,0.006483
2020-03-16,0.176851,0.007175
2020-03-17,0.192037,0.00799
2020-03-18,0.210691,0.008907
2020-03-19,0.236674,0.010023
2020-03-20,0.266054,0.011517
2020-03-21,0.296472,0.013242
2020-03-22,0.329892,0.014927
2020-03-23,0.370605,0.016887
2020-03-24,0.409379,0.019195
2020-03-25,0.457625,0.022022
2020-03-26,0.517516,0.025065
2020-03-27,0.579012,0.028549
2020-03-28,0.644971,0.032349
2020-03-29,0.69814,0.035853
2020-03-30,0.759389,0.039943
2020-03-31,0.831571,0.044684
2020-04-01,0.908539,0.050697
2020-04-02,0.985799,0.056596
2020-04-03,1.063456,0.06275
2020-04-04,1.116621,0.068729
2020-04-05,1.1822,0.073986
2020-04-06,1.25021,0.079925
2020-04-07,1.311539,0.08823
2020-04-08,1.388002,0.095062
2020-04-09,1.467115,0.102933
2020-04-10,1.545018,0.110353
2020-04-11,1.613122,0.116634
2020-04-12,1.726803,0.122582
2020-04-13,1.791805,0.1286
2020-04-14,1.868589,0.135683
2020-04-15,1.938263,0.144231
2020-04-16,2.026528,0.151659
2020-04-17,2.106054,0.160174
2020-04-18,2.177044,0.166372
2020-04-19,2.248457,0.171726
2020-04-20,2.317964,0.177776
2020-04-21,2.38659,0.185154
2020-04-22,2.461038,0.192197
2020-04-23,2.538027,0.199206
2020-04-24,2.615218,0.206129
2020-04-25,2.691693,0.212005
2020-04-26,2.758901,0.216265
2020-04-27,2.824205,0.22121
2020-04-28,2.893187,0.228032
2020-04-29,2.963431,0.234986
2020-04-30,3.040674,0.241029
2020-05-01,3.123679,0.246502
2020-05-02,3.197081,0.25234
2020-05-03,3.267977,0.256183
2020-05-04,3.341119,0.260754
2020-05-05,3.415228,0.266867
2020-05-06,3.49886,0.273754
2020-05-07,3.582013,0.279453
2020-05-08,3.666541,0.285368
2020-05-09,3.746359,0.289959
2020-05-10,3.81789,0.29399
2020-05-11,3.890429,0.297909
2020-05-12,3.969026,0.303795
2020-05-13,4.048443,0.309272
2020-05-14,4.138949,0.314848
2020-05-15,4.22934,0.320484
2020-05-16,4.319117,0.325037
2020-05-17,4.393813,0.328609
2020-05-18,4.478449,0.332767
2020-05-19,4.57027,0.337901
2020-05-20,4.667269,0.343096
2020-05-21,4.768851,0.348174
2020-05-22,4.869552,0.353852
2020-05-23,4.969839,0.358154
2020-05-24,5.060893,0.361637
2020-05-25,5.145702,0.363252
2020-05-26,5.234257,0.367915
2020-05-27,5.332464,0.373308
2020-05-28,5.446056,0.37832
2020-05-29,5.561931,0.383475
2020-05-30,5.694535,0.387859
2020-05-31,5.797993,0.391012
2020-06-01,5.890226,0.394523
2020-06-02,6.006719,0.399723
2020-06-03,6.115058,0.405562
2020-06-04,6.240499,0.41099
2020-06-05,6.366335,0.416053
2020-06-06,6.496192,0.420269
2020-06-07,6.605683,0.423457
2020-06-08,6.702985,0.427623
2020-06-09,6.822266,0.432816
2020-06-10,6.952231,0.438298
2020-06-11,7.084469,0.443363
2020-06-12,7.208699,0.448172
2020-06-13,7.339399,0.452632
2020-06-14,7.468404,0.456275
2020-06-15,7.582976,0.46011
2020-06-16,7.717567,0.467229
2020-06-17,7.856585,0.472794
2020-06-18,7.992028,0.478107
2020-06-19,8.165831,0.484489
2020-06-20,8.318913,0.488984
2020-06-21,8.443026,0.493605
2020-06-22,8.577663,0.49735
2020-06-23,8.739172,0.502923
2020-06-24,8.906508,0.508462
2020-06-25,9.079803,0.513507
2020-06-26,9.266568,0.518585
2020-06-27,9.440504,0.523367
2020-06-28,9.601936,0.526894
2020-06-29,9.751513,0.530907
2020-06-30,9.922712,0.536105
2020-07-01,10.134765,0.541433
2020-07-02,10.339094,0.546873
2020-07-03,10.536429,0.552181
2020-07-04,10.728018,0.556992
2020-07-05,10.908234,0.560838
2020-07-06,11.0676,0.564993
2020-07-07,11.271246,0.571343
2020-07-08,11.479305,0.577006
2020-07-09,11.69852,0.582793
2020-07-10,11.925569,0.588457
2020-07-11,12.138026,0.593673
2020-07-12,12.327583,0.597975
2020-07-13,12.513596,0.602268
2020-07-14,12.728809,0.60828
2020-07-15,12.954161,0.614154
2020-07-16,13.199573,0.620333
2020-07-17,13.434608,0.62738
2020-07-18,13.66606,0.633932
2020-07-19,13.875361,0.638842
2020-07-20,14.077033,0.64266
2020-07-21,14.305317,0.649057
2020-07-22,14.577668,0.656414
2020-07-23,14.854229,0.663036
2020-07-24,15.12915,0.669493
2020-07-25,15.378269,0.675641
2020-07-26,15.588508,0.67997
2020-07-27,15.80978,0.685202
