date,Total_Cases,Total_Deaths
22.01.20,557.0,17.0
23.01.20,655.0,18.0
24.01.20,941.0,26.0
25.01.20,1434.0,42.0
26.01.20,2118.0,56.0
27.01.20,2927.0,82.0
28.01.20,5578.0,131.0
29.01.20,6167.0,133.0
30.01.20,8235.0,171.0
31.01.20,9927.0,213.0
01.02.20,12038.0,259.0
02.02.20,16787.0,362.0
03.02.20,19887.0,426.0
04.02.20,23898.0,492.0
05.02.20,27643.0,564.0
06.02.20,30805.0,634.0
07.02.20,34399.0,719.0
08.02.20,37130.0,806.0
09.02.20,40161.0,906.0
10.02.20,42769.0,1013.0
11.02.20,44811.0,1113.0
12.02.20,45229.0,1118.0
13.02.20,60381.0,1371.0
14.02.20,66909.0,1523.0
15.02.20,69052.0,1666.0
16.02.20,71235.0,1770.0
17.02.20,73270.0,1868.0
18.02.20,75152.0,2008.0
19.02.20,75652.0,2123.0
20.02.20,76212.0,2248.0
21.02.20,76841.0,2252.0
22.02.20,78602.0,2459.0
23.02.20,78982.0,2470.0
24.02.20,79550.0,2630.0
25.02.20,80404.0,2710.0
26.02.20,81381.0,2771.0
27.02.20,82740.0,2814.0
28.02.20,84128.0,2873.0
29.02.20,86022.0,2943.0
01.03.20,88400.0,2997.0
02.03.20,90379.0,3086.0
03.03.20,92980.0,3160.0
04.03.20,95282.0,3255.0
05.03.20,98100.0,3348.0
06.03.20,102016.0,3461.0
07.03.20,106113.0,3565.0
08.03.20,110051.0,3805.0
09.03.20,114230.0,3995.0
10.03.20,119055.0,4271.0
11.03.20,126715.0,4616.0
12.03.20,132516.0,4925.0
13.03.20,146871.0,5417.0
14.03.20,157971.0,5838.0
15.03.20,169244.0,6483.0
16.03.20,184026.0,7175.0
17.03.20,200027.0,7990.0
18.03.20,219598.0,8907.0
19.03.20,246697.0,10023.0
20.03.20,277571.0,11517.0
21.03.20,309714.0,13242.0
22.03.20,344819.0,14927.0
23.03.20,387492.0,16887.0
24.03.20,428574.0,19195.0
25.03.20,479647.0,22022.0
26.03.20,542581.0,25065.0
27.03.20,607561.0,28549.0
28.03.20,677320.0,32349.0
29.03.20,733993.0,35853.0
30.03.20,799332.0,39943.0
31.03.20,876255.0,44684.0
01.04.20,959236.0,50697.0
02.04.20,1042395.0,56596.0
03.04.20,1126206.0,62750.0
04.04.20,1185350.0,68729.0
05.04.20,1256186.0,73986.0
06.04.20,1330135.0,79925.0
07.04.20,1399769.0,88230.0
08.04.20,1483064.0,95062.0
09.04.20,1570048.0,102933.0
10.04.20,1655371.0,110353.0
11.04.20,1729756.0,116634.0
12.04.20,1849385.0,122582.0
13.04.20,1920405.0,128600.0
14.04.20,2004272.0,135683.0
15.04.20,2082494.0,144231.0
16.04.20,2178187.0,151659.0
17.04.20,2266228.0,160174.0
18.04.20,2343416.0,166372.0
19.04.20,2420183.0,171726.0
20.04.20,2495740.0,177776.0
21.04.20,2571744.0,185154.0
22.04.20,2653235.0,192197.0
23.04.20,2737233.0,199206.0
24.04.20,2821347.0,206129.0
25.04.20,2903698.0,212005.0
26.04.20,2975166.0,216265.0
27.04.20,3045415.0,221210.0
28.04.20,3121219.0,228032.0
29.04.20,3198417.0,234986.0
30.04.20,3281703.0,241029.0
01.05.20,3370181.0,246502.0
02.05.20,3449421.0,252340.0
03.05.20,3524160.0,256183.0
04.05.20,3601873.0,260754.0
05.05.20,3682095.0,266867.0
06.05.20,3772614.0,273754.0
07.05.20,3861466.0,279453.0
08.05.20,3951909.0,285368.0
09.05.20,4036318.0,289959.0
10.05.20,4111880.0,293990.0
11.05.20,4188338.0,297909.0
12.05.20,4272821.0,303795.0
13.05.20,4357715.0,309272.0
14.05.20,4453797.0,314848.0
15.05.20,4549824.0,320484.0
16.05.20,4644154.0,325037.0
17.05.20,4722422.0,328609.0
18.05.20,4811216.0,332767.0
19.05.20,4908171.0,337901.0
20.05.20,5010365.0,343096.0
21.05.20,5117025.0,348174.0
22.05.20,5223404.0,353852.0
23.05.20,5327993.0,358154.0
24.05.20,5422530.0,361637.0
25.05.20,5508954.0,363252.0
26.05.20,5602172.0,367915.0
27.05.20,5705772.0,373308.0
28.05.20,5824376.0,378320.0
29.05.20,5945406.0,383475.0
30.05.20,6082394.0,387859.0
31.05.20,6189005.0,391012.0
01.06.20,6284749.0,394523.0
02.06.20,6406442.0,399723.0
03.06.20,6520620.0,405562.0
04.06.20,6651489.0,410990.0
05.06.20,6782388.0,416053.0
06.06.20,6916461.0,420269.0
07.06.20,7029140.0,423457.0
08.06.20,7130608.0,427623.0
09.06.20,7255082.0,432816.0
10.06.20,7390529.0,438298.0
11.06.20,7527832.0,443363.0
12.06.20,7656871.0,448172.0
13.06.20,7792031.0,452632.0
14.06.20,7924679.0,456275.0
15.06.20,8043086.0,460110.0
16.06.20,8184796.0,467229.0
17.06.20,8329379.0,472794.0
18.06.20,8470135.0,478107.0
19.06.20,8650320.0,484489.0
20.06.20,8807897.0,488984.0
21.06.20,8936631.0,493605.0
22.06.20,9075013.0,497350.0
23.06.20,9242095.0,502923.0
24.06.20,9414970.0,508462.0
25.06.20,9593310.0,513507.0
26.06.20,9785153.0,518585.0
27.06.20,9963871.0,523367.0
28.06.20,10128830.0,526894.0
29.06.20,10282420.0,530907.0
30.06.20,10458817.0,536105.0
01.07.20,10676198.0,541433.0
